Match #,Team #,Score
1,1523,0.9885848754562314
1,179,1.9142675426334916
1,2152,1.9142675426334916
2,3390,-1.3774509803921582
3,4206,-0.03150936307861585
3,4388,-0.03150936307861585
3,5410,-0.03150936307861585
3,5472,1.4863568143306722
3,5557,1.4863568143306722
4,5872,3.3034315072049245
4,59,3.3034315072049245
4,6743,-1.1618909832451507
5,744,-1.6583686563827398
6,8775,2.903821091252883
6,9404,-3.258891492429705
7,9693,-7.037009468932168
7,9725,-7.037009468932168
8,180,0.9060552717929102
8,3173,2.213108684980044
9,4388,-0.9400027888484779
13,9693,1.3343237367555278
13,9725,1.3343237367555278
13,9779,1.3343237367555278
15,3390,-3.2757975622681528
17,6686,-1.0768500387910684
19,8817,-1.262528115096324
20,9693,6.542157197734497
20,1744,4.8412532467532445
21,179,-2.3083494901118513
21,180,-2.3083494901118513
21,2152,-2.3083494901118513
21,2383,-2.847208775337418
21,3173,-2.847208775337418
21,3390,-2.847208775337418
22,348,-2.0161431856693284
23,5842,-4.3231463350873645
23,59,-0.5730212744504968
24,6743,2.140488392705375
24,694,1.6417648405382579
24,744,1.6417648405382579
24,7652,1.6417648405382579
25,806,2.368560072867932
25,8861,-1.6954577464788727
26,9040,-0.47153679653679514
26,9402,-0.47153679653679514
26,9779,-1.1598693849375927
27,2152,-0.7219824573665088
28,2383,4.422497211151522
28,3390,4.422497211151522
28,348,-2.2196854689478305
29,5472,-1.572809852335995
29,5842,-1.572809852335995
30,5872,3.3039870627604793
30,6317,-1.743295891519936
31,694,1.1759170579029743
32,8775,1.5350115674433595
32,9402,2.1249092792171376
34,179,-1.771801871064233
35,348,-2.3453098523359928
35,3932,-2.3453098523359928
35,4206,-2.850913242009131
36,6300,1.4607128591436058
37,7652,-1.1450870113135945
38,7833,-6.424051606288448
38,8775,0.5151666666666701
39,9404,-4.3609689754689756
39,9725,0.9661226785544722
40,108,-4.07517173830038
40,179,-1.8374724318951323
40,180,-1.8374724318951323
41,3390,-0.9641953597433064
41,3932,3.1934485793311564
42,4206,1.7068239702547185
42,5410,1.7068239702547185
42,5472,4.44845679012346
43,59,-2.0539494451760287
43,6317,-2.7010167054577354
44,694,-4.175934793948877
44,744,-4.175934793948877
44,8752,-4.448374553799083
46,1744,3.9356298701298673
47,179,-3.56783361709598
47,2383,6.350013446884804
48,3627,4.526912369886226
48,4206,-1.4171715502194955
49,5557,1.0598166278755976
49,59,5.746638785069533
51,8775,2.4919311424100172
52,9693,-3.3297503373185453
52,9725,-3.3297503373185453
52,9779,-3.3297503373185453
53,2152,-1.038398357821058
55,4388,-4.319287140856393
55,5557,2.7441345921084506
56,5872,-0.669425635652218
56,6300,-0.669425635652218
56,6686,3.9630176860766557
58,8775,-0.4438998823950504
58,9402,3.662687056994915
58,9404,3.662687056994915
59,9725,3.8842675426334923
59,9779,3.8842675426334923
60,2152,3.4043886051262437
60,3173,-0.12081988644852792
61,3627,-3.050468582494723
61,4206,0.6225490196078418
61,5410,0.6225490196078418
62,5557,0.3320388500978204
62,5842,0.3320388500978204
62,5872,-0.467250103819356
62,59,-0.467250103819356
63,6743,-2.645860813643832
63,694,2.427598173871592
63,744,2.427598173871592
64,806,0.20852039032824798
64,8817,2.5268333333333324
64,8861,2.5268333333333324
65,9404,-0.35976527176527107
66,1523,-1.2031611562897986
66,179,2.2759070294784634
67,3627,1.696716647454286
68,5410,3.5350877192982466
68,5472,-4.064754296780438
69,6300,1.615693411966829
69,6686,-0.6535167054577359
70,7833,3.4362026784196598
70,806,3.4362026784196598
71,8861,-0.9500281150963232
72,9779,-1.6988480932707912
72,1744,-0.20013564213564194
73,179,-0.2664447282070892
74,4388,0.9739786926330023
75,5557,1.1020388500978207
75,5842,1.1020388500978207
75,59,2.9384906369213852
76,744,-3.963605529832112
76,7652,-3.963605529832112
77,8775,2.9663932483791666
79,1744,0.6417265195335569
80,2383,1.4716638778181899
80,3627,0.18661082734846582
81,4388,-0.6555834371526886
81,5842,2.0352457032195606
82,6686,2.304816627875599
83,694,-0.35741627543035825
83,744,-0.35741627543035825
83,7652,-0.35741627543035825
83,806,1.649568318318316
83,8752,1.649568318318316
84,9404,-1.6554610911532326
85,108,-2.6387467532467532
85,1523,-2.6387467532467532
87,348,-1.8511431856693268
88,5472,6.872537441813396
88,5872,-5.755398251967503
88,59,-5.755398251967503
88,6300,-5.755398251967503
89,6743,0.6842991913746648
90,7833,6.801004269702899
90,806,6.801004269702899
90,8817,0.5675837245696419
90,8861,0.5675837245696419
91,9040,-2.3099769119769107
92,1744,-1.6448711340206206
93,3173,-5.204130895601485
93,3932,-4.832278061540423
94,4388,3.483490636921385
95,59,0.5019500257234432
95,6317,-0.6281967213114772
96,694,-1.4103263283404115
96,744,-1.4103263283404115
97,9040,-0.29472035041249117
98,9693,1.4399349755122763
98,1744,3.818963203463202
99,2152,0.6977219384595775
99,3390,-2.2466532197818623
