Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Coral Miss,Auto Algae Processor,Auto Algae Net,Auto Algae Remove From Reef,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Coral Miss,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Miss,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
DD,2025nytr,qm,4,b2,10714,0,0,0,1,0,0,0,0,0,"24.1,23.7,15.8,12.7,44.8","tc1,tc1,tc1,tc1,tc1",0,0,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,kit bot
J,2025nytr,qm,4,r1,2053,0,0,0,0,1,0,0,0,1,"29.5,14.7,15.9,53.9,16.9","tc4,tc2,tc2,tc3,tc2",1,1,3,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0
JP,2025nytr,qm,4,r2,250,0,0,0,0,0,0,0,0,0,"11.2,25.3,7.6","tc2,tc2,tc2",0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ML,2025nytr,qm,4,b1,229,0,0,0,0,0,0,0,0,0,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JP,2025nytr,qm,5,r2,870,1,0,0,1,2,0,0,0,1,"13.8,4.2,23.4,13.6,9.9,21.7,11.9","tap,tap,tc4,tc4,tc4,tc4,tc4",5,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0
eg,2025nytr,qm,5,b3,7759,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,defence was terrible 
DD,2025nytr,qm,5,b2,8067,0,0,0,0,0,0,0,0,1,"11,15.2,18.1","tc4,tc4,tc4",3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ML,2025nytr,qm,5,b1,7504,0,0,0,0,0,0,0,0,1,"2.1,50.1,8.4,14.6,13.5,24","tc4,tc4,tc4,tc4,tc4,tc4",6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
J,2025nytr,qm,5,r1,6300,0,0,0,0,0,0,0,0,1,"13.4,16.4,41.6,11.8,11.6,11.8","tc2,tc2,tc1,tc2,tc2,tc3",0,1,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
ap,2025nytr,qm,5,r3,1126,0,0,0,0,1,0,0,0,0,"11.1,25.2,11.2,47.1,9.3,9.2,12.1","tc2,tc3,tc3,tc1,tc4,tc4,tc3",2,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
arin,2025nytr,qm,6,b3,9624,0,0,0,0,0,0,0,0,1,"8.7,7.5,29.7,28.6,53.3","tc4,tc4,tc4,tc4,tc4",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DD,2025nytr,qm,6,b1,6648,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
df,2025nytr,qm,6,b2,1518,0,0,0,1,0,0,0,0,1,"16.3,21,18.5,16.1,16.9,14.9,20.5","tan,tan,tan,tan,tan,tan,tan",0,0,0,0,0,0,7,0,6,0,0,1,0,0,0,0,0,0,0,picked up an algae from he 3 stand things
Ak,2025nytr,qm,6,r2,1880,0,0,0,0,0,0,0,0,1,"4.4,105,17.6","tc1,tc3,tc3",0,2,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0
J,2025nytr,qm,6,r1,1591,0,0,0,0,3,0,0,0,1,"25.5,7.9,7.8,10.1,13.5,21.2,13.8","tc4,tc4,tc4,tc4,tc4,tc4,tc4",7,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
