Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Coral Miss,Auto Algae Processor,Auto Algae Net,Auto Algae Remove From Reef,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Coral Miss,Teleop Algae Removed From Reef,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Miss,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Good Driver,Bad Driver,Yellow Card,Red Card,Egregiously Bad Event,Comment
np,2025ohcl,qm,4,r1,4611,3,0,0,0,0,0,0,0,1,"6.6,12.6,7.8,15.8,15.9,52.3,12.5","tc4,tan,tc4,tc1,tc1,tc1,tc1",2,0,0,4,6,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0
ACS,2025ohcl,qm,5,b2,1787,0,0,0,0,0,0,0,0,1,"9.6,7,6.4,19.3,5.3,8,6.7,18.2,7.3,8.2,9.5,9","tc4,tc4,tc4,tc3,tc3,tc2,tc2,tc3,tc3,tc3,tc2,tc2",3,5,4,0,3,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
Ay,2025ohcl,qm,5,r2,3954,0,0,0,0,0,0,0,0,1,"78,10.4","tap,tap",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ML,2025ohcl,qm,5,b1,4991,0,0,0,0,1,0,0,0,1,"17.7,18.4,30.4,7.9,11.8","tap,tc2,tc2,tc2,tc3",0,1,3,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JS,2025ohcl,qm,5,b3,4145,2,0,0,0,0,0,0,0,1,"17.3,11.3,16.5,10.3,13.3,9,11.1,10.3,11.6,8.7","tan,tap,tc3,tc3,tap,tc3,tc2,tc4,tc1,tc4",2,3,1,1,0,4,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
RV,2025ohcl,qm,5,r3,6964,1,0,0,0,0,0,0,0,1,"42.3,42.4","tc4,tc4",2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
np,2025ohcl,qm,5,r1,8713,0,0,0,0,0,0,0,0,1,"25.3,12.9,27.3,34","tc1,tc1,tc1,tc1",0,0,0,4,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Adis,2025ohcl,qm,6,b2,2228,2,0,0,0,0,0,0,0,1,"11.7,10.4,23,5.9,15.9,7.5,14.4,5.8,9.8,7.1,9.6","tap,tap,tc3,tan,tc3,tan,tc2,tc2,tc2,tc2,tc2",0,2,5,0,0,4,2,2,0,0,1,3,0,0,0,0,1,0,0,0,0
MF,2025ohcl,qm,6,b1,5740,2,0,0,0,0,0,0,0,0,0.1,tc4,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,spun alot couldn't pick up algae
OZ,2025ohcl,qm,6,b3,7165,0,0,0,0,0,0,0,0,0,"0.1,11.4,16.9,9.8,33.9,9.6,12.5,11.2","tc4,tc3,tc3,tc4,tc3,tc3,tc4,tc4",4,4,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
np,2025ohcl,qm,6,r1,9767,0,0,0,0,0,0,0,0,1,"28.2,32.8","tc4,tc4",2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
