Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Algae Processor,Auto Algae Net,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
ZS,2025nyro,qm,5,r3,1585,0,0,0,0,0,0,1,"84.2,28.7","tc3,tc3",0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
DD,2025nyro,qm,5,r2,6911,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
JS,2025nyro,qm,5,b2,2614,0,0,0,0,0,0,1,"0.1,5.9,9.5,40.5,23.1,32.7","tc1,tc4,tc3,tc3,tc4,tc4",3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
AC,2025nyro,qm,5,b1,3951,0,0,1,0,0,0,1,"8.1,47.8","tap,tan",0,0,0,0,1,1,4,0,0,2,0,0,0,0,0,0,0
jp,2025nyro,qm,6,r1,2228,0,0,0,0,0,0,1,"56.8,11.9,10.2,15.2","tap,tan,tan,tan",0,0,0,0,1,3,2,0,0,3,0,0,0,0,0,0,0,great algae robot
ZS,2025nyro,qm,6,r3,3015,3,0,0,0,0,0,1,"5.9,16.3,23.1,7.7,10.9,5.9,12.5,0.5,3,9.8,11.4,6.4","tc4,tc3,tc3,tc3,tc3,tc3,tc2,tc2,tc2,tc2,tc4,tc4",3,5,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0
JS,2025nyro,qm,6,b2,191,0,0,0,0,0,0,1,"0.1,4.1,9.3,9.1,9.1,27.8,10.2","tc1,tc4,tc4,tap,tap,tc3,tc3",2,2,0,1,2,0,2,0,0,3,0,0,0,0,0,0,0
AC,2025nyro,qm,6,b1,9643,0,0,0,0,0,0,1,"9.8,23.8","tc1,tc1",0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
cc,2025nyro,qm,6,b3,2252,1,0,0,0,0,0,1,"13.8,5.9,14.9,11.9,8.3,8.5,20.2,15.5,39.9","tc4,tc4,tap,tc3,tc3,tc3,tc3,tc3,tc1",2,5,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
DD,2025nyro,qm,6,r2,424,0,0,0,0,0,0,1,"0.1,0.6,2,1.1","tc2,tc1,tc1,tan",0,0,1,2,0,1,1,0,1,3,0,0,0,0,0,0,0
jp,2025nyro,qm,7,r1,10223,0,0,0,1,0,0,1,"16.8,10.7,14.2,17.8,12,25.8","tc1,tc1,tc1,tc1,tc1,tc1",0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,modded kit robot
CD,2025nyro,qm,7,r2,1787,1,0,0,0,0,0,0,,{},0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ER,2025nyro,qm,7,b1,378,0,1,0,0,0,0,1,"36,12.7,33.9,14,17.3","tap,tc1,tc3,tap,tc1",0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,removed alge during auto
RV,2025nyro,qm,7,b2,639,0,0,0,0,0,0,0,"27,53.6,29","tc4,tc4,tc4",3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
eg,2025nyro,qm,7,b3,2010,0,0,0,1,0,0,1,"23,11.1,16.3,19.7,16.8","tan,tan,tan,tan,tc4",1,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0
ZS,2025nyro,qm,7,r3,3838,0,0,0,0,0,0,1,"10.9,13.8,22.4","tc4,tc4,tc4",3,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,got coral stuck in chassis
CD,2025nyro,qm,8,r2,3799,0,0,0,0,0,0,0,12.2,tc1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
jp,2025nyro,qm,8,r1,229,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eg,2025nyro,qm,8,b3,5590,0,0,0,0,0,0,1,101.9,tc4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,can't really intake/bad driver
RV,2025nyro,qm,8,b2,564,0,0,0,0,0,0,0,,{},0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,they got coral but could not score and seemed to have bad control of robot
" ""ZS",2025nyro,qm,8,r3,8393,0,0,0,0,0,0,1,"24.2,10.4,45.9,8.2,12.2,16.9","tc3,tc3,tap,tap,tc2,tap",0,2,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0
