Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Coral Miss,Auto Algae Processor,Auto Algae Net,Auto Algae Remove From Reef,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Coral Miss,Teleop Algae Removed From Reef,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Miss,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Good Driver,Bad Driver,Yellow Card,Red Card,Egregiously Bad Event,Comment
Polvi,2025dal,qm,3,b2,1425,3,0,0,0,0,0,0,0,1,"12.4,9.1,6.4,9.4,6.7,13.7,23.9,9.4,8.9,17.1,5.6","tan,tc3,tc4,tc3,tc4,tc4,tc4,tc4,tc4,tc3,tc3",6,4,0,0,0,0,0,1,2,0,1,3,0,0,0,1,0,0,0,0,0
ML,2025dal,qm,3,r1,4421,0,0,0,0,1,0,0,0,1,"18.7,42.6,14.7","tc4,tan,tan",1,0,0,0,4,4,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0
Polvi,2025dal,qm,4,b2,9199,1,0,0,0,2,0,0,0,1,"13.9,14,14.5,11.9,12.5","tc4,tc4,tc4,tc4,tc2",4,0,1,0,2,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0
ML,2025dal,qm,4,r1,6424,2,0,0,0,0,0,0,0,1,"2.1,8.2,10.4,12.4,5.8,5.1,7.5,5.2,6.4,5.9,7.4,13.7,9.6,9,7","tc4,tc4,tc3,tc3,tc3,tc3,tc2,tc2,tc2,tc2,tc2,tc3,tc2,tc2,tc2",2,5,8,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Aas,2025dal,qm,4,b3,6911,1,0,0,0,0,0,0,2,1,"0.1,5.9,10.3,7.6,6.1,9.8,8.3,9.6,8.8,5.5,13,8.1,13.1,5.7","tan,tan,tc4,tc4,tan,tc4,tan,tap,tap,tan,tan,tc4,tc2,tc3",4,1,1,0,0,3,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0
Jp,2025dal,qm,4,r3,418,2,0,0,0,0,0,0,0,1,"5.1,8.1,11.6,10.1,5.8,11.3,4.9,10.8,6.9,15.5,17.7","tc4,tc4,tc4,tc1,tc3,tc3,tc2,tc3,tc2,tc3,tc3",3,5,2,1,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0
DD,2025dal,qm,4,b1,6017,0,0,0,0,0,0,0,0,0,"19.2,21.1,24.1","tc2,tc1,tc2",0,0,2,1,0,0,0,0,6,1,0,3,0,0,0,0,0,1,0,0,0
Polvi,2025dal,qm,5,b2,1833,2,0,0,0,1,0,0,0,1,"2.6,12.8,5.1,15.4,11.3,10.5,13.8,7.3,6.5,7.3,9.8,5.4,9.7","tc4,tc4,tc4,tc3,tc3,tc3,tc2,tc2,tc2,tc4,tc1,tc1,tc4",5,3,3,2,0,1,0,0,1,1,1,3,0,1,0,0,0,0,0,0,0
Aas,2025dal,qm,5,b3,8575,0,1,0,0,0,0,0,1,1,"0.1,13.3,6.6,15.7,64.1","tc2,tc3,tc3,tc3,tc1",0,3,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DD,2025dal,qm,5,b1,78,0,0,0,0,3,0,0,0,1,"6.9,6.5,8.5,10.2,4.8,4.6,7.4,5.6,7.2,3.7,7.9,5,4.9,7.2,11,16.3","tan,tc4,tan,tc3,tc3,tc3,tc3,tc2,tc2,tc2,tc2,tc1,tc1,tc1,tc1,tc1",1,4,4,5,0,2,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0
ML,2025dal,qm,5,r1,4967,0,0,0,0,0,0,0,0,1,12.1,tc4,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RV,2025dal,qm,5,r2,3492,0,0,1,0,0,0,0,0,1,"10.8,8.2,24.4,8.2,9.6,10.3,12.7,18.3,9.6,9.5,8.1","tc2,tc2,tc3,tc3,tc3,tc3,tc2,tc2,tc3,tc3,tc2",0,6,5,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Jp,2025dal,qm,5,r3,6146,0,0,0,1,0,0,0,0,1,"17.9,13.8","tc4,tc4",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,I think a coral got stuck in it
Jp,2025dal,qm,6,r3,4786,2,0,0,0,0,0,0,0,1,"10,8.4,11.6,8,4.9,6.5,9,10.2,16.3,7.4,6.3,6.5,6.7","tc4,tap,tap,tc4,tan,tan,tc3,tc3,tc3,tc3,tc2,tc2,tc2",2,4,3,0,0,3,2,2,0,0,0,3,0,0,0,0,1,0,0,0,0
Aas,2025dal,qm,6,b3,10260,0,0,0,0,1,0,0,0,1,"0.1,18.9,13.7,12.1,8.1,19.4,16.5,11","tc1,tc1,tc1,tc1,tc1,tc1,tc1,tc1",0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DD,2025dal,qm,6,b1,10291,0,0,0,0,0,0,0,0,1,"25.4,48.8,5.6,8,7.2,7.4,8","tap,tap,tc3,tc3,tc3,tc3,tc3",0,5,0,0,1,2,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0
ML,2025dal,qm,6,r1,302,1,0,0,1,1,0,0,0,1,"6.9,7.9,6.1,5.5,6.5,5.8,7.5,6.3,12.4,6,7.8,7.4,6.7,7.2,6.9","tc4,tc4,tan,tan,tc3,tc3,tc4,tc2,tc2,tc3,tc3,tc3,tc2,tc2,tc4",4,5,4,0,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
RV,2025dal,qm,6,r2,6909,0,0,0,0,0,0,0,0,1,"19,7.8,9.4,7.3,31.5,13.8,8.9","tc2,tc2,tc1,tc1,tc2,tc1,tc1",0,0,3,4,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Polvi,2025dal,qm,6,b2,649,0,0,0,0,0,0,0,0,1,"4.5,12.7,7.7,21.1,9,6.4,11.3,10.9,9.7,16.8","tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc3,tc3,tc3",7,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Jp,2025dal,qm,7,r3,5660,3,0,0,0,0,0,0,0,1,"7.7,7.2,5.2,6.4,9.1,8.5,6.8,10.1,6.6,5.1,4.9,7.2,8.3,7.6,12.8,7.8","tan,tc3,tc3,tc3,tc3,tc4,tan,tc4,tc3,tc3,tc2,tc2,tc2,tc2,tc1,tc1",2,6,4,2,0,2,0,2,0,0,1,3,0,0,0,0,1,0,0,0,0,Very fast and good endofector 
