Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,23,r2,1518,36,0,118,,47,94,"118,118",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,23,r1,27,12,0,"47,92","2,5","16.1,7,26.8,24.1,13.4,14.8,3.5","a,a,a,90,211,140,140",,3,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,24,r2,6911,24,0,95,,"16.5,66.4","95,95","94,118",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,24,r3,1559,24,0,,,"10.8,64.6,29.2","90,65,65",92,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,24,b1,1507,25,0,"94,93","6,5","53.4,53.9,8.4","168,195,142",,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,24,b2,7036,49,0,,,,,122,0,0,0,1,0,0,0,0,1,didn't seem to ever score,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,24,b3,3173,1,0,"50,52","1,2","5.6,12.7,17.7,24.8,13.6,13.1,12.8,18.6,10.4","a,a,a,52,a,a,76,76,76",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,24,r1,1511,36,0,"143,167",9,"12.5,28,34.7,9.9","a,a,a,164",,3,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,25,r2,6621,60,0,,,,,"21,227,227,251,94",0,0,0,1,0,0,0,0,0,"ferried notes, note didn't fully make it in amp",,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,25,r3,424,24,0,,,"17.6,20.7,23.5,2.7,0.2,21.4","94,45,45,a,a,94",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,25,b2,564,25,0,74,,"57.6,51","98,98","98,98",0,0,1,0,0,0,0,0,0,might've missed a speaker shot,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,25,b1,3193,1,0,,,,,,0,0,0,1,0,0,0,0,0,played defence,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,25,b3,1585,13,0,,,,,"75,74",0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,25,r1,1468,36,0,95,"9,6","6.8,9.8,9.8,20.5,16,28.8,9.3,12,12.7","68,166,142,117,165,118,118,118,71",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,26,r3,7903,,0,,,,,,0,0,0,0,0,0,0,0,0,no show,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,26,b1,3951,25,0,,3,2.2,a,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,26,r1,3015,24,0,147,"2,9",,,,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,26,b3,8595,13,0,98,,0.8,98,"98,98",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,26,b2,7709,13,1,49,,6.3,49,49,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,27,b3,6868,25,0,,,"1.8,5.9,24.7,28.1,16.9","98,98,98,98,73","98,98",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,27,b1,6300,37,0,,,"16,8,23.1,29.2,14.1,11.9","100,99,100,76,100,99","76,53,148",0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,27,b2,3044,13,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,27,r1,3838,24,0,"118,94,118","6,9","12.4,10.1,33.6,7.5,8.5,39.1,16.8","94,94,94,94,95,117,118",95,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,27,r2,8145,36,0,118,,,,118,0,1,0,0,0,0,1,0,0,intake takes forever and shooting doesn't work,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,27,r3,1126,12,0,"68,118","9,6","17.7,5.8,29.9,40.3","a,a,a,117",,3,1,0,0,0,0,0,0,0,only picked up one during auto,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,28,r1,3181,36,0,"143,117","9,11","6.9,12.9,22.8,14.9","118,94,94,143",118,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,28,b1,3003,13,0,76,,"3.9,8.7,9.8,33.4,7.6,15.3,30.5","101,78,78,102,78,77,53",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,28,r3,4093,24,0,,,9.3,71,"71,48",0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,28,r2,1308,36,0,119,,"16.4,67.7","a,a",,2,0,1,0,0,0,0,0,0,"slow, kitbot",,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,28,b3,4458,13,0,"98,98,50",4,"7.1,17.6,45.5,38.3","a,97,98,98",,1,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,28,b2,1405,25,0,121,11,"0.1,14.7,23,18.1,18.7,6.9","a,a,49,a,a,49",49,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,29,b3,4930,1,0,,,"5.4,11.7,12,22.8,13.1","a,a,a,a,a",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,29,b2,533,13,0,98,4,"9.6,4.8,10.1,37.4,37.5","98,74,98,74,121",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,29,b1,3799,25,0,,,,,98,0,1,0,0,1,0,0,0,1,"died,came back died on subwoofer, tried to climb and failed",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,29,r3,578,24,0,,,"6.4,11.2,6.1,7.5,17.3,27.2,11.3,20.3,19.7","118,94,118,118,94,a,a,94,118","118,118",2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,29,r2,271,60,0,,,,,,0,0,0,0,0,0,0,0,0,"cant shoot or intake, match was actually full o bots",,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,29,r1,6353,60,0,,,,,,0,0,0,0,1,0,0,0,1,dead most of the match. did very little when mobile,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,30,b1,1511,25,0,"98,99",4,"2.3,33.8,25,8.7,21.9,24.6","a,77,a,a,a,a",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,30,r2,3117,36,0,,,40.1,a,,1,0,0,0,0,0,0,0,0,cant pic up or shot,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,30,b2,3173,1,0,"194,170","4,1,2","17.5,5.2,25.9,5.4","99,a,74,75","77,101",1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,30,r1,5740,24,0,"69,44,117","3,6","2.1,19.6,12,13.9,46,17.6","94,93,118,118,117,94",140,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,30,b3,340,25,0,98,"11,14","40.4,10.6,24.6,13.2,7.6,17.1","98,123,99,75,98,99","99,98",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,30,r3,229,48,0,,,,,,0,0,0,1,0,0,0,0,0,disbled,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,31,b1,7036,13,0,,,"15,28.4,75.8","148,148,101",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,31,r2,378,12,0,,,,,,0,0,0,0,1,0,0,0,1,"was technically moving, but at a snails pace",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,31,r1,424,36,0,,,"26.4,27.2,12.1,11,29","93,a,a,93,117",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,31,b2,334,37,0,,,,,,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,31,b3,6621,13,0,76,,"4.5,29.3,15.1,12.8,42.5","a,a,a,99,a",98,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,31,r3,5528,24,0,71,,0.1,141,"118,94",0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,32,b1,120,25,0,,4,"13.4,11.2,20.4,17.2,23.8,12,22.3","125,148,98,98,98,74,74",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,32,r2,2340,12,0,72,,"36.9,22.4","94,118",119,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,32,b2,1450,13,0,,,27.3,a,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,32,r3,694,36,0,"93,116,68","6,3","57.2,7.7,13.7,16.2,9.1,3.5","45,92,46,22,92,92",92,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,32,r1,564,36,0,143,,"43.1,24.3,50.8","95,94,118","118,118",0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,32,b3,1518,25,0,97,,"17.7,34.4,32.8,25.3","76,100,74,148",76,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,33,b1,6868,25,0,"98,74","4,7","32.6,9.6,22,12.2,15.5,18.2","98,74,98,74,98,74",74,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,33,r3,6911,36,0,"143,164",9,54.9,95,"46,46",0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,33,b2,7709,25,0,"100,76","4,7",21.3,a,,1,1,0,1,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,33,b3,27,13,0,,1,"0.1,8.6,32.2,5,4.7,10.7,15.4,21.3","a,a,a,123,98,101,75,100",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,33,r2,3044,24,0,,,,,"143,94",0,0,0,1,0,0,0,0,0,stopped shooting for some reason,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,33,r1,1585,24,0,117,,,,118,0,0,1,0,0,0,0,0,0,a note got stuck,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,34,b2,1468,13,0,"98,124,100","4,7","9.9,38.4,25.1,32.6,9.6,4.9","a,98,a,97,98,98",,2,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,34,r3,8595,36,0,143,,10,118,,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,34,r2,1126,12,0,71,,"22.8,58.6","93,91",,0,1,0,0,0,0,0,0,0,not Shure about the accuracy of this data,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,34,b1,1559,37,0,,,"17.7,16.5,7,60.9","221,98,52,98",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,34,b3,3838,13,0,50,,,,,0,1,0,0,0,0,0,0,0,passed all game,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,34,r1,1591,36,0,119,2,"8.2,10.1,6.6,6.4,11.8,12.1,8.6,10.3,11.1,24.9,10.5","a,91,90,67,91,91,90,91,91,91,91",,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,35,r2,639,12,0,,,"5.5,35.5,36","48,118,144",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,35,r3,1507,24,0,118,14,"40.5,22.5,40","143,118,93",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,35,b2,6300,1,0,26,,"15.9,53.4,22.6,15.2,11.9","74,102,98,98,98",,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,35,b3,3951,25,0,,,"29.9,41.7","a,a",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,35,r1,3193,36,0,118,,"6.2,40,27.8,19.4,27.6","94,a,118,118,94",,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,35,b1,7903,49,0,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,36,r3,191,60,0,,14,"37.5,35.4,25.6","117,118,118",140,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,36,r1,870,36,0,94,5,"6.3,8.2,31.3,35.6,20.2","91,115,90,90,117","89,89,89,115",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,36,b2,4991,1,1,,,"23.4,21.1,23.6,23.3,20.4","a,a,a,a,a",,5,0,1,0,0,0,0,0,0,"good at amp, semi fast, no speaker",,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,36,b3,8145,25,0,148,,"22.7,19.5,24.1,27.1,19.9","98,98,98,74,74",,0,0,1,0,0,0,0,0,0,had trouble getting note from source,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,36,r2,3015,24,0,119,"6,3","6.2,2.6,15.9,21.4,15.2,13.2,11.4","a,a,a,a,a,118,a",46,6,1,0,0,0,0,0,0,0,smashed into stage,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,36,b1,2228,25,0,"118,118,118,118","6,3,9",5,118,,0,1,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,37,r3,7036,12,0,,,"13,14.4,18,20.8,26.8","21,21,21,21,22",116,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,37,b2,271,25,0,,,,,,0,0,0,0,0,0,0,0,0,can't score or pickup,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,37,b3,334,1,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,37,r2,6353,48,0,,,,,,0,0,0,1,0,0,0,0,1,quite literally everything broke. end effector dissichatached and bumpers are damaged. also destroyed note.,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,37,b1,229,49,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,38,b1,340,25,0,71,"5,9","0.1,42.4,13.4,20.4,12.5","118,118,118,95,142",,0,1,1,0,0,0,0,0,0,"intake was put up, entangling it with the chain",,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,38,r2,120,24,0,119,6,"21.7,43.3,24.8","118,94,118","118,119,119,119,119,118,118",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,38,b2,3799,13,0,,,"9.2,21.4,10.7,22.3,25.2","99,98,50,74,74",98,0,1,0,0,0,0,0,0,0,kinda ok can score speaker kinda fast,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,38,b3,3003,1,0,101,,"14.1,9.9,29.9,23.8,39.5","a,a,a,101,125","125,124,173",3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,38,r3,564,36,0,143,,"24.3,69","143,143","118,119,143,143",0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,38,r1,1308,12,0,,,"41.8,48","a,a",,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,39,r1,1518,48,0,,,"0.1,22.8","141,91",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,39,b2,5528,13,0,,,,,,0,0,0,0,1,0,0,0,0,didn't move entire game,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,39,b1,1450,13,0,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,39,b3,4093,13,0,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,39,r3,6868,24,0,"94,95",6,"24.8,21.5,13.7,15.3,1.5,8.5,15.3","118,94,118,118,93,93,94",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,39,r2,6911,12,0,71,3,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,40,r1,27,24,0,"93,44",5,,,91,0,1,0,0,0,0,0,0,0,passed to teammate,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,40,b2,1511,13,0,,,"8.1,33.1,39.6,20.8","a,75,75,99",,1,1,0,0,0,0,0,0,0,us but 2x worse,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,40,b3,1405,13,0,"100,75","7,1,4",12.1,122,,0,1,0,1,0,0,0,0,0,notestck in intake played defense,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,40,r2,424,24,0,"118,118",9,"1.3,14.7,7.7,31.7,14","a,118,a,119,118",,2,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,40,b1,694,37,0,"146,145",2,"6.3,10.7,9.2,22.8","51,a,a,75",51,2,0,0,0,0,0,0,0,1,note got stuck in robot halfway through,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,41,r1,6300,36,0,142,,"8.3,5.5,19.9,15,12.4,16.2,18.8","94,117,141,93,118,117,93",166,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,41,r3,7709,12,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,41,b1,4458,25,0,"145,145",,"2.4,9.8,29.6,35.5,12.3,18.9,8.8","74,99,75,a,75,99,122",,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,41,r2,578,24,0,118,,"75.1,19.4","a,a",119,2,1,0,0,0,0,0,0,0,briefly died and it also sucessfuly climbed,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,41,b3,3117,13,0,121,,"29.3,19.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,41,b2,6621,13,0,148,,"6.1,89.4,14.8","a,100,a",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,42,b3,3015,13,0,"50,74,50,124","4,1,5,2","9.3,31.9,30.5,22.7,15.6","a,a,74,a,a",,4,1,1,0,0,0,0,0,0,climbed and trap,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,42,r1,1507,36,0,"118,116,93","3,6","16.4,23.5,13.6,17.4,18.7,20.2,18","141,117,93,93,117,118,93",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,42,r3,4930,12,1,,,"70,19.4,17.4","a,a,a",,3,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,42,b1,8595,37,0,,,"30.6,6.4,44.4,24.1","98,98,74,98",75,0,0,0,0,0,0,0,0,0,bad collision towards the end,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,42,b2,3838,25,0,,,61.5,172,"148,100",0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,42,r2,1585,60,0,,,,,119,0,0,1,0,0,0,0,0,1,appears that they were badly dammaged,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,43,r1,5740,24,0,94,6,"12.6,40.8","93,117",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,43,b1,3193,13,0,,,"11.5,13.5,20.6,19.1,18.7,23.9","a,a,a,a,a,a",,6,0,1,0,0,0,0,0,0,not sure about pickup,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,43,r3,8145,36,0,94,,"12.1,85.3","a,118",,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,43,b3,1468,13,0,"98,98,98","4,7","19,10,9.9,7.7,26.1,9,17.2,30.4","74,98,100,98,99,99,99,98",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,43,r2,191,60,0,,"14,11","10.5,11.7,8.9,29.2,28.7,21.1","a,118,95,118,118,118",,1,1,0,0,0,0,0,0,0,keep forgetting their robot is too takk to go under the stage,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,43,b2,3951,13,0,"49,122",11,77.5,a,"98,98,3",1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,45,r1,3044,48,0,,,"20.6,17.3","93,117",118,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,45,b2,1559,25,0,121,7,"14.7,14.8,5.8,30.8,14.7,19.1","170,76,125,148,123,124","220,124",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,45,r2,4991,12,0,,,"20.4,24.1,18.1,17.7,20.2","a,a,a,a,a",,5,1,0,0,0,0,0,0,0,climbed and  o auto,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,45,b3,533,25,0,74,,"20,58.1","a,a","192,255,281,254,254",2,1,0,0,0,0,0,0,0,dead wheel,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,45,r3,870,24,0,93,6,"7,7.5,26.3,27.4,6.6,13.7,13.6","93,92,93,93,93,93,117","93,93",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,45,b1,639,13,0,,,,,,0,0,0,1,0,0,0,0,1,couldn't shoot for some reason,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,46,r1,6868,24,0,71,,"37.7,18.8,14.7,16.6,23","142,94,94,118,118",,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,46,r2,120,36,0,143,,"16.6,12.5,12.1,21.2,19.8,18.7,27.4","94,94,70,118,94,70,70",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,46,b1,7036,1,0,,,"50.3,19.5","3,4",100,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,46,r3,1591,24,0,94,"6,3,5","14.1,7.1,11.5,13.3,33.2,32.6","91,66,93,68,93,93","93,69",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,46,b3,1308,13,0,98,,,,,0,1,0,1,0,0,0,0,0,"can't shoot, play mid defense",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,46,b2,1518,37,0,145,,"11.1,22.2,22.6","145,146,122","122,98",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,47,r1,7709,24,0,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,47,b2,5528,1,0,49,1,"16,4.3,16.6","75,100,123","99,123,75",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,47,b1,334,1,0,49,1,,,77,0,1,0,1,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,47,r3,1405,24,0,119,6,"19.2,0.5,85.7","a,a,a",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,47,b3,6300,49,0,29,,"35.1,5,47.8,15.2,14.7","74,75,75,99,98",74,0,0,1,0,0,0,0,0,0,pretty good,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,47,r2,1450,36,0,,,26.9,a,,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,48,r1,4093,12,0,,,,,"219,119,143",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,48,r2,229,60,0,-1,,,,,0,0,0,1,0,0,0,0,0,nothing but a drive base,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,48,r3,564,24,0,118,6,"26.6,19.6","a,a",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,48,b1,3015,49,0,,"14,11,8","21.4,13.9,26.1,6.7,26.6,4.3","3,2,27,26,77,77",77,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,48,b3,578,25,0,75,"4,7","47.5,8.8,9.2,6.6,28.2","75,75,75,99,75","99,99,75",0,1,0,0,0,0,0,0,0,kinda good but missed a good amount of shots,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,48,b2,1585,1,0,,,15.5,49,98,0,0,1,1,0,0,0,0,0,played d for second half of match,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,49,r3,5740,12,0,,,,,,0,0,0,0,1,0,0,0,0,just didn't do anything,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,49,r2,4458,48,0,"165,117",14,"9.2,87.6,15,11","a,117,93,92",116,1,1,0,0,0,0,0,0,0,passed notes to partners.,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,49,b1,6911,25,0,99,4,"8.8,28,15.4,26.7","99,101,75,50",76,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,49,b2,3003,1,0,75,1,"32.9,15.8,8.9,26.2,11.3","123,123,100,51,99","74,122,173,100",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
