Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,6,r3,229,48,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,6,r1,533,36,0,118,,"1.9,55.3,38.3","a,118,94",118,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
j,2024nyro,qm,6,b3,3193,25,0,,,"61.4,28.6","a,a",,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,6,r2,6868,36,0,,,"10.9,5.2,18.4,11.8,7.2,42.3,18.9","119,119,119,119,119,120,119","119,119",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,6,b2,1559,37,0,,,11.8,172,171,0,1,0,1,0,0,0,0,0,"okay at defense, picked up a note but stopped trying to score so maybe broken",,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,6,b1,1591,25,5,102,4,"0.1,8.3,32.9,12.5,10.2,4,11.6,10.2","102,77,52,102,102,78,78,78",103,0,1,1,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,7,b3,120,13,0,98,4,23.9,98,,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,7,b2,1511,25,0,122,7,"15.6,21.7,39.4,16.4","a,99,a,99",123,2,1,0,0,0,0,0,0,0,kinda good nothing apecial,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,7,b1,4930,13,0,,,"17.6,5.8,7.9,25.7,19.1,23.7","27,27,27,27,27,27",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,7,r3,1450,12,0,,,,,,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,7,r1,8145,48,0,167,,95.3,118,"94,119,118",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,7,r2,6621,24,0,119,,"3.1,34.7,11.8,25,25.4,18.8","119,118,143,119,118,119","119,119",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,8,b2,378,1,0,50,,,,,0,0,0,0,0,0,0,0,0,can't score really bad,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,8,r1,3951,36,0,,,"0.5,27.6,12.1,22","a,a,118,118",94,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,8,r3,3838,24,0,119,"3,6",106.6,119,71,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,8,b1,1405,25,10,"98,101",4,"27.3,10.6,25.7,31.4,20.8","27,27,74,3,74",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,8,b3,1585,37,0,,,,,,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,8,r2,6911,12,0,143,,,,,0,0,0,1,0,0,0,0,0,appears that they broke setting and started playing d,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,9,r2,4458,60,0,213,5,"1,14,5.8,16.3,36.7,26.9","118,117,118,94,142,118",142,0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,9,r3,3173,24,0,"95,95","6,3","11.1,19.2,9.1,11.2,5.7,4.9,16.9,17.7,18.1","a,67,a,67,91,91,a,a,91",91,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,9,b1,3044,13,0,,,,,,0,1,0,1,0,0,1,0,0,",",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,9,b2,3799,25,0,,,"70.5,15.1,24.5","a,a,99",,2,1,0,0,0,0,0,0,0,kinda mid,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,9,r1,334,36,0,94,,,,"140,168,123",0,1,0,0,0,0,0,0,1,note stuck whole match,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,9,b3,564,25,0,74,,"28.1,57.4","98,99",,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,10,b3,7903,,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,10,b1,578,13,0,"74,76",4,"29.6,53.7,31.7","3,74,99",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,10,r2,1468,24,0,"118,119,95",6,"1.5,9.3,3,4.3,18.2,3.6,15.6,16.2,14,16.2,4.8,10","119,119,119,119,119,118,119,119,119,119,118,118",95,0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,10,r1,271,60,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,10,b2,1518,25,0,50,,"12.7,8.8,56.1,15.9","74,99,75,99",76,0,1,1,0,0,0,0,0,0,okay but takes a long time to pick up an shoot,,,,,,,,,,,,,,,,,,,,,,
jl,2024nyro,qm,10,r3,1308,24,0,,,,,,0,0,0,0,0,0,0,0,0,:(,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,11,r2,1126,24,0,,,,,"119,118",0,1,0,0,0,0,0,0,0,had issues lining up,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,11,b3,5740,1,0,"98,122","1,4","7.6,12.3,15.4,5.5,13,13.9,32.6,16","74,148,122,122,123,147,52,52",122,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,11,r1,2340,12,0,71,,"52,32.5,23.2","a,118,118",,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,11,b1,870,13,0,98,1,"8.3,31.8,56.5,11.4,8.9","98,51,100,51,75","99,123,125,52,76,76",0,1,0,0,0,0,0,0,0,shot a lot of notes outside field,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,11,r3,6353,36,0,,,,,,0,0,0,0,1,0,1,0,0,shooter broke,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,11,b2,4093,49,0,,,"44.4,58.1","94,70",,0,0,1,0,0,0,0,0,0,something bad happened,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,12,r2,340,36,0,"118,210","5,8","5.9,3.7,3.9,61.6,8.6,9.7,6,16","119,68,116,92,92,115,139,91",91,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,12,b3,694,25,0,"122,122","14,11","20.4,18.1,3.9,0.1,24.4,37.3","3,27,a,a,27,101","53,51,101,101",2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
