Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Teleop Note Passes,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment
TMS,2024nytr,qm,69,r3,1493,24,0,"94,94","6,9","18,6.4,39.3,3.7,15.9,5.2,4.7,19.4,14.1","a,a,94,117,94,94,94,117,118",,2,1,1,1,0,0,0,0,0,0,
mc,2024nytr,qm,69,b2,3419,37,0,"100,148,124","7,5","9.5,6.2,14,14.2,4.2,14.2,45.6,11.6","100,75,173,77,99,75,99,98","102,99,98",0,0,1,0,0,0,0,0,0,0,
hw,2024nytr,qm,69,b3,7504,25,0,"74,98","4,1","18.8,31.7,27.7,15.3,15.3","a,a,a,98,75",,3,0,1,0,0,0,0,0,0,0,
JA,2024nytr,qm,69,r2,3044,36,0,119,14,"55.9,48.2","94,119","118,94",0,0,1,0,0,0,0,0,0,0,
lg,2024nytr,qm,69,b1,1559,13,0,,,,,,0,0,0,0,0,1,0,0,0,1,random movement then died
kp,2024nytr,qm,69,r1,6911,12,0,45,,"21.3,20.9,19.9,8.2,24.9,14.2","a,92,116,117,92,117",,1,0,1,0,0,0,0,0,0,0,
JA,2024nytr,qm,70,r2,5149,60,0,,,,,,0,0,0,0,1,0,0,0,0,0,
TMS,2024nytr,qm,70,r3,296,48,0,118,,"25.2,10.4,19,11.2","119,119,118,118",,0,0,1,0,1,0,0,0,0,0,
mc,2024nytr,qm,70,b2,6969,25,0,121,,,,,0,0,1,0,0,1,0,0,0,0,
lg,2024nytr,qm,70,b1,333,25,0,74,,"14.6,10.6,18.1,35.3,55.5","a,a,a,99,74",121,3,0,1,0,0,0,0,0,0,0,
kp,2024nytr,qm,70,r1,3173,12,0,"46,68,91,116","9,6,2","3.9,9,11.6,12.7,4.2,15.9,12.9,16.9,6.3,15.5","a,a,a,94,118,a,a,116,93,92","116,95",5,0,1,0,0,0,0,0,0,0,
SL,2024nytr,qm,70,b3,7030,37,0,217,,,,97,0,0,0,0,0,0,0,0,0,0,
lw,2024nytr,qm,71,r2,5993,24,0,72,,,,,0,0,0,0,0,1,0,0,0,0,","
mc,2024nytr,qm,71,b2,1511,1,0,"49,50",1,"22.8,15,108,0.5","a,a,98,99","99,99",2,0,1,0,0,0,0,0,0,0,
lg,2024nytr,qm,71,r1,3360,24,0,"117,117",3,"15.8,34.3,56.7,12.1,13.9","a,118,a,45,93",,2,0,1,0,0,0,0,0,0,1,struggled with amp
TMS,2024nytr,qm,71,r3,3181,48,0,,,"36.7,23.4,17.5","118,117,117","45,118",0,0,1,0,0,0,0,0,0,0,
SL,2024nytr,qm,71,b3,9624,25,0,74,4,"9.6,8,22.2,16.9,24.3,38.4","97,98,74,121,98,121",97,0,0,0,0,0,0,0,0,0,0,
mg,2024nytr,qm,71,b1,639,37,0,121,,"14.5,14.9,14.7,15.9,25.7,16,31.3","97,75,98,75,49,75,98",,0,0,1,0,0,0,0,0,0,1,gav opp ranking point
mg,2024nytr,qm,72,b1,5590,25,0,,,"17.6,19.2,16.5,17.4,16.9","97,98,50,74,75",,0,0,1,0,0,0,0,0,0,0,mauled nite gt stuck in bot
TMS,2024nytr,qm,72,r3,3171,24,0,118,6,"31,9.4,21.3,10.1,29.8","91,91,116,94,116",,0,0,1,0,0,0,0,0,0,0,
mc,2024nytr,qm,72,b2,3003,13,0,"74,124","4,7","12.7,13,7.3,16.5,13.5,62.7","a,77,74,74,98,123","123,75",1,0,1,0,0,0,0,0,0,0,
mc,2024nytr,qm,72,r1,2234,12,0,,,35.4,a,,1,0,0,1,0,0,0,0,0,1,"stuck notes, slow, hard time picking up notes "
lw,2024nytr,qm,72,r2,20,48,0,143,14,"13.3,5.6,8.1,8,20.9,24.2","93,117,22,117,21,117",,0,0,0,0,0,1,0,0,0,0,dead for second 
SL,2024nytr,qm,72,b3,6463,37,0,,,,,,0,0,0,0,1,0,0,0,0,0,
eg,2024nytr,qm,73,b2,7605,25,0,121,,55.6,122,"100,99",0,0,1,0,0,0,0,0,0,0,
mg,2024nytr,qm,73,b1,1796,25,0,"74,28,100,148,32,32","1,7,4,2,5,8","9.3,9.9,13.7,5.6,9.8,4.8,13.6,15.1,12.6","a,a,33,56,a,a,a,a,33","56,80,32",6,0,1,0,0,0,0,0,0,0,trap
lw,2024nytr,qm,73,r2,9750,48,0,,,"7.3,43.2,35.4","21,118,45",,0,0,1,0,0,0,1,0,0,0,","
mc,2024nytr,qm,73,r1,2095,60,0,,,,,,0,0,0,0,1,1,0,0,0,1,broken shooter 
eg,2024nytr,qm,73,r3,3799,48,0,117,6,"5.4,16.4,13.6,12.2,11.8,16.7,15.7,19.5","a,94,118,118,118,118,118,118",,1,0,1,0,0,0,0,0,0,0,
SL,2024nytr,qm,73,b3,3550,25,0,121,7,"16,28.1","121,98",121,0,0,1,0,1,0,0,0,0,0,
SL,2024nytr,qm,74,b3,5016,,0,,,109.4,98,99,0,0,0,0,0,0,0,0,0,1,sucked
mg,2024nytr,qm,74,b1,4122,25,0,73,,"13,18.2,13.1,15.3,10.6,38,13.6","98,99,75,98,98,74,76","121,32,98",0,0,1,0,0,0,0,0,0,0,
eg,2024nytr,qm,74,r3,7709,24,0,93,6,"87.8,13.6,19.9,1.4","118,118,118,118",,0,2,1,0,0,0,0,0,0,0,
mc,2024nytr,qm,74,r1,7718,36,0,,,,,,0,0,0,0,1,0,0,0,0,0,
lw,2024nytr,qm,74,r2,9076,24,0,,,"22.5,15.7,8.7,13,12.2,21.6,29.5","118,117,118,93,93,117,94",94,0,0,1,0,0,0,0,0,0,0,","
mg,2024nytr,qm,75,b1,250,49,0,,,"46.4,9.3,11.9","74,98,74",75,0,2,1,0,1,0,0,0,0,0,
eg,2024nytr,qm,75,r3,3986,36,0,"92,164,141",6,"7.8,34.2,14.3,31.6,16.8,20.4","92,92,92,91,115,211",,0,0,1,0,0,0,0,0,0,0,
mc,2024nytr,qm,75,r1,229,48,0,,,,,,0,1,0,0,1,0,0,0,0,1,cant pickup or shoot
lw,2024nytr,qm,75,r2,1601,60,0,,,"1,12.7","118,117",,0,0,0,1,0,0,0,0,0,0,bad shooter
eg,2024nytr,qm,75,b2,5881,13,0,,,,,98,0,4,1,0,0,0,0,0,0,0,
SL,2024nytr,qm,75,b3,2601,13,0,"74,98",4,"1,3.6,10.1,10.3,12.8,16.3,24.9,12.1,13.1,13.1","75,98,98,74,121,98,74,74,74,75",74,0,0,1,0,0,0,0,0,0,0,tried to put a high note I trap
eg,2024nytr,qm,76,r3,2053,36,0,"116,117,117","6,3,9","16.4,15.4,17.3,15.5,23.1,8.3,19.4","91,92,a,a,92,93,92",,2,0,1,0,0,0,0,0,0,0,
mg,2024nytr,qm,76,b1,6300,37,0,"146,170","14,11","6.9,10.1,16.8,20.8,20.7,15.7,6.1,18.9","a,a,a,a,a,98,74,a",75,6,0,1,0,0,0,0,0,0,0,climbed
mc,2024nytr,qm,76,r1,6648,48,0,,,,,,0,0,0,0,1,0,0,0,0,0,
AV,2024nytr,qm,76,b2,7031,1,0,,,,,,0,0,0,0,1,0,0,0,0,0,they played  defense
lw,2024nytr,qm,76,r2,1880,36,0,143,,"63.7,42.3","118,118","142,118",0,0,0,1,0,0,0,0,0,0,","
mc,2024nytr,qm,77,r1,6401,12,0,,,,,94,0,0,1,0,1,0,0,0,0,0,
mg,2024nytr,qm,77,b1,6911,37,0,147,7,"11.6,6.8,73.4","100,123,124",76,0,0,1,0,0,0,0,0,0,0,
eg,2024nytr,qm,77,r3,1493,24,0,"118,118","9,6,3","7.9,5.2,2.9,33.1,4.2,4.8,40.8,25","a,a,a,118,118,69,118,165",118,3,3,1,0,0,0,0,0,0,0,
SL,2024nytr,qm,77,b2,3171,13,0,"73,73",4,"6.2,29.1,37.4,7.5,31","76,76,74,74,74","77,77",0,0,1,0,0,0,0,0,0,0,
lw,2024nytr,qm,77,r2,2791,36,0,"143,143",11,"12.1,13.4,26.1,31.6,9.7,12.9","94,93,93,22,22,118",,0,0,1,0,0,0,0,0,0,0,","
